"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","sDelta_vs_WT_p_value","sDelta_vs_WT_p_value_minus_log10","sDelta_vs_WT_fold_change","sDelta_vs_WT_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","sDelta","sDelta.pval","WT","WT.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
149,"149_174.9_0.7","NA_[149_174.9_0.7]",174.896093940285,0.6999878,0.000334314931632359,3.47584422591798,1.72707816633954,0.78833337970438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85021033733688,0.0798403193612774,1.85021033733688,0.06187624750499,1.98770612744662,0.0578842315369262,0.055,0.658682634730539
151,"151_123.06_0.7","NA_[151_123.06_0.7]",123.055598956531,0.7200533,0.00125077451633524,2.90282097578834,1.68584850780569,0.753474899947225,"Amide PP",NA,NA,0.369886111246946,-8.81859922985586,42.4560166645573,1,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)","DFPAKSUCGFBDDF","C6H6N2O","[M + H]+","C1=CC(=CN=C1)C(=O)N","Alkaloids","Pyridine alkaloids","Nicotinic acid alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57532077260253,0.0139720558882236,2.61775625263929,0.0139720558882236,2.61579280951322,0.0139720558882236,0.0845,0.0239520958083832
154,"154_308.09_0.8","NA_[154_308.09_0.8]",308.09146916855,0.750326,0.00371554687525165,2.42997725527499,1.63680297916408,0.710880676064238,"Glutinal",NA,NA,0.61598512847638,-7.97615842587046,71.4545219132715,1,"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)","RWSXRVCMGQZWBV","C10H17N3O6S","[M + H]+","C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N","Amino acids and Peptides","Tripeptides","Small peptides","307.083806264","InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1","RWSXRVCMGQZWBV-WDSKDSINSA-N","RWSXRVCMGQZWBV","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O","C10H17N3O6S","(2S)-2-azaniumyl-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoate","http://www.wikidata.org/entity/Q116907","Amino acids and Peptides","Small peptides","Amino acids and Peptides","Small peptides","Aminoacids","Aspergillus fumigatus","['Eukaryota']","['Fungi']","['Ascomycota']","['Eurotiomycetes']","['Eurotiales']","['Trichocomaceae']","['Unknown']","['Aspergillus']","['Aspergillus fumigatus']","nan","278828.0","http://www.wikidata.org/entity/Q134359",3,2.14701597463324,0.031936127744511,2.24733287487747,0.031936127744511,2.1932960518294,0.0439121756487026,0.0705,0.465069860279441
157,"157_227.14_0.8","NA_[157_227.14_0.8]",227.139338018935,0.76007766,0.000366930962102469,3.43541564037567,1.73611274390407,0.795860640057581,"null",NA,NA,0.336874690480118,-224.499627532527,54.6294429345835,1,"InChI=1S/C11H20N2O4/c1-3-4-9(14)7(2)13-10(15)6-5-8(12)11(16)17/h7-8H,3-6,12H2,1-2H3,(H,13,15)(H,16,17)","PYSJONOJEKCVCZ","C11H20N2O4","[M - H2O + H]+","CCCC(=O)C(C)NC(=O)CCC(C(=O)O)N","Amino acids and Peptides","Aminoacids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41434834807494,0.0339321357285429,2.42624841748946,0.031936127744511,2.43925637578373,0.0399201596806387,0.088,0.221556886227545
158,"158_137.05_0.8","NA_[158_137.05_0.8]",137.046024287042,0.7652039,0.000194043314581902,3.71210131551199,1.69379708389545,0.760261050825676,"Sarcine",NA,NA,0.462947634993252,-28.6391273033579,39.7321144534148,1,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)","FDGQSTZJBFJUBT","C5H4N4O","[M + H]+","C1=NC2=C(N1)C(=O)N=CN2","Alkaloids","Purine alkaloids","Pseudoalkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63736530665978,0.179640718562874,1.63736530665978,0.151696606786427,1.72300386905937,0.147704590818363,0.082,0.658682634730539
160,"160_148.04_0.8","NA_[160_148.04_0.8]",148.043070633532,0.7666405,6.70328712471739e-06,5.17371217788962,1.82676873178586,0.869294000892214,"bmse000397",NA,NA,0.678241053546262,-11.6908255954348,76.1539229146103,1,"InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)","QEFRNWWLZKMPFJ","C5H11NO3S","[M - H2O + H]+","CS(=O)CCC(C(=O)O)N","Amino acids and Peptides","Aminoacids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.283433133732535,1.00100150250438,0.261477045908184,1.00100150250438,0.265469061876248,0.053,0.798403193612774
168,"168_190.07_0.8","NA_[168_190.07_0.8]",190.071159377825,0.78932095,0.0294648685337381,1.53069549229832,1.51326678496612,0.597666353330011,"acetyl-glu",NA,NA,0.744210225892752,-56.4310179902835,98.5228019030201,1,"InChI=1S/C7H11NO5/c1-4(9)8-5(7(12)13)2-3-6(10)11/h5H,2-3H2,1H3,(H,8,9)(H,10,11)(H,12,13)","RFMMMVDNIPUKGG","C7H11NO5","[M + H]+","CC(=O)NC(CCC(=O)O)C(=O)O","Amino acids and Peptides","Aminoacids","Small peptides","189.063722452","InChI=1S/C7H11NO5/c1-4(9)8-5(7(12)13)2-3-6(10)11/h5H,2-3H2,1H3,(H,8,9)(H,10,11)(H,12,13)/t5-/m0/s1","RFMMMVDNIPUKGG-YFKPBYRVSA-N","RFMMMVDNIPUKGG","CC(=O)N[C@@H](CCC(=O)O)C(=O)O","C7H11NO5","N-Acetyl-L-glutamic acid","http://www.wikidata.org/entity/Q63390524","Amino acids and Peptides","Small peptides","nan","nan","nan","Saccharomyces cerevisiae","['Eukaryota']","['Fungi']","['Ascomycota']","['Unknown']","['Saccharomycetales']","['Saccharomycetaceae']","['Unknown']","['Saccharomyces']","['Saccharomyces cerevisiae']","nan","356221.0","http://www.wikidata.org/entity/Q719725",6,1.73727046020804,0.0558882235528942,1.63736530665978,0.0798403193612774,1.70266414755955,0.0718562874251497,0.085,0.0219560878243513
189,"189_162.08_0.9","NA_[189_162.08_0.9]",162.07620859509,0.89955974,0.00208007408522703,2.68192119665632,1.6088689798113,0.686046843231704,"N-Acetylthreonine",NA,NA,0.792345896317294,-12.2748636275533,85.67334555676,1,"InChI=1S/C6H11NO4/c1-3(8)5(6(10)11)7-4(2)9/h3,5,8H,1-2H3,(H,7,9)(H,10,11)","PEDXUVCGOLSNLQ","C6H11NO4","[M + H]+","CC(C(C(=O)O)NC(=O)C)O","Amino acids and Peptides","Dipeptides","Small peptides","161.068807832","InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)","FCXZBWSIAGGPCB-UHFFFAOYSA-N","FCXZBWSIAGGPCB","CC(=O)OCCC(N)C(=O)O","C6H11NO4","4-(Acetyloxy)-2-azaniumylbutanoate","http://www.wikidata.org/entity/Q27107556","Amino acids and Peptides","Small peptides","Amino acids and Peptides","Small peptides","Aminoacids","Saccharomyces cerevisiae","['Eukaryota']","['Fungi']","['Ascomycota']","['Unknown']","['Saccharomycetales']","['Saccharomycetaceae']","['Unknown']","['Saccharomyces']","['Saccharomyces cerevisiae']","nan","356221.0","http://www.wikidata.org/entity/Q719725",6,2.0716769761626,0.0518962075848303,2.14793159805948,0.0419161676646707,2.16327477536171,0.0479041916167665,0.069,0.179640718562874
213,"213_146.17_1.2","NA_[213_146.17_1.2]",146.165339389507,1.1896614,0.0118098232002164,1.92775660397371,1.55827528577486,0.639950123219528,"Spermidin",NA,NA,0.41570162195422,-2.97915032480528,38.3940059127082,1,"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2","ATHGHQPFGPMSJY","C7H19N3","[M + H]+","C(CCNCCCN)CN","Alkaloids","Polyamines","Ornithine alkaloids","145.15789760799998","InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2","ATHGHQPFGPMSJY-UHFFFAOYSA-N","ATHGHQPFGPMSJY","NCCCCNCCCN","C7H19N3","Spermidine","http://www.wikidata.org/entity/Q418834","Alkaloids","Ornithine alkaloids","Alkaloids","Ornithine alkaloids","Polyamines","Saccharomyces cerevisiae","['Eukaryota']","['Fungi']","['Ascomycota']","['Unknown']","['Saccharomycetales']","['Saccharomycetaceae']","['Unknown']","['Saccharomyces']","['Saccharomyces cerevisiae']","nan","356221.0","http://www.wikidata.org/entity/Q719725",6,1.9042342233658,0.197604790419162,1.85021033733688,0.211576846307385,1.99468790562554,0.201596806387226,0.065,0.588822355289421
222,"222_308.09_1.4","NA_[222_308.09_1.4]",308.091304407611,1.3683308,0.000642888716759753,3.19186419640678,1.6940885785575,0.760509310623277,"Glutinal",NA,NA,0.616819545810911,-6.97445659035138,57.20345002667,1,"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)","RWSXRVCMGQZWBV","C10H17N3O6S","[M + H]+","C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N","Amino acids and Peptides","Tripeptides","Small peptides","307.083806264","InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1","RWSXRVCMGQZWBV-WDSKDSINSA-N","RWSXRVCMGQZWBV","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O","C10H17N3O6S","(2S)-2-azaniumyl-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoate","http://www.wikidata.org/entity/Q116907","Amino acids and Peptides","Small peptides","Amino acids and Peptides","Small peptides","Aminoacids","Aspergillus fumigatus","['Eukaryota']","['Fungi']","['Ascomycota']","['Eurotiomycetes']","['Eurotiales']","['Trichocomaceae']","['Unknown']","['Aspergillus']","['Aspergillus fumigatus']","nan","278828.0","http://www.wikidata.org/entity/Q134359",3,1.73727046020804,0.063872255489022,1.73727046020804,0.0518962075848303,1.73727046020804,0.0558882235528942,0.0755,0.0399201596806387
227,"227_209.13_1.5","NA_[227_209.13_1.5]",209.128628658736,1.483293,0.00496558029550208,2.30402999099379,1.60394604269088,0.681625609840449,"Pilocarpic acid",NA,NA,0.473144205042136,-152.477052786527,70.3272746493519,1,"InChI=1S/C11H18N2O3/c1-3-10(11(15)16)8(6-14)4-9-5-12-7-13(9)2/h5,7-8,10,14H,3-4,6H2,1-2H3,(H,15,16)","WJRPDGADPABWOY","C11H18N2O3","[M - H2O + H]+","CCC(C(CC1=CN=CN1C)CO)C(=O)O","Amino acids and Peptides","Pyrazine and Piperazine alkaloids","Peptide alkaloids","208.121177752","InChI=1S/C11H16N2O2/c1-3-10-8(6-15-11(10)14)4-9-5-12-7-13(9)2/h5,7-8,10H,3-4,6H2,1-2H3/t8-,10-/m0/s1","QCHFTSOMWOSFHM-WPRPVWTQSA-N","QCHFTSOMWOSFHM","CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C","C11H16N2O2","Pilocarpine","http://www.wikidata.org/entity/Q411461","Alkaloids","Histidine alkaloids","Fatty acids","Fatty Acids and Conjugates","Hydroxy fatty acids","Pilocarpus trachylophus","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Sapindales']","['Rutaceae']","['Unknown']","['Pilocarpus']","['Pilocarpus trachylophus']","nan","6125581.0","http://www.wikidata.org/entity/Q18076363",1,2.3269502762573,0.029940119760479,2.32181730106286,0.031936127744511,2.38609520210629,0.0279441117764471,0.1115,0.0538922155688623
229,"229_120.08_1.5","NA_[229_120.08_1.5]",120.081112360189,1.5049064,0.00927006539369439,2.03291720220713,1.58736592613536,0.666634742519036,"bmse000307",NA,NA,0.466503512748366,-9.99217251124059,29.7271262500178,1,"InChI=1S/C8H11NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5,8,10H,6,9H2","ULSIYEODSMZIPX","C8H11NO","[M - H2O + H]+","C1=CC=C(C=C1)C(CN)O","Alkaloids","Phenylethylamines","Tyrosine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69190951029083,0.00798403193612774,2.73082729289951,0.00598802395209581,2.74218448596458,0.00598802395209581,0.111,0.0419161676646707
230,"230_166.09_1.5","NA_[230_166.09_1.5]",166.086440549731,1.505634,0.00880953892376713,2.05504682122516,1.57928862246434,0.659274854634931,"Sabiden",NA,NA,0.981515665239662,-0.483917416784706,38.4927273901206,1,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)","COLNVLDHVKWLRT","C9H11NO2","[M + H]+","C1=CC=C(C=C1)CC(C(=O)O)N","Amino acids and Peptides","Aminoacids","Small peptides","165.078978592","InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)","COLNVLDHVKWLRT-UHFFFAOYSA-N","COLNVLDHVKWLRT","NC(Cc1ccccc1)C(=O)O","C9H11NO2","L-Phenylalanine, 23","http://www.wikidata.org/entity/Q27103475","Amino acids and Peptides","Small peptides","Amino acids and Peptides","Small peptides","Aminoacids","Saccharomyces cerevisiae","['Eukaryota']","['Fungi']","['Ascomycota']","['Unknown']","['Saccharomycetales']","['Saccharomycetaceae']","['Unknown']","['Saccharomyces']","['Saccharomyces cerevisiae']","nan","356221.0","http://www.wikidata.org/entity/Q719725",6,2.9699806177545,0.00798403193612774,2.88136606782406,0.00998003992015968,2.97210526667724,0.00998003992015968,0.121,0.0239520958083832
232,"232_228.06_1.6","NA_[232_228.06_1.6]",228.063422802667,1.5978888,0.0226952420914553,1.64406518025216,1.52934967594407,0.61291830733539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47173304525012,0.00798403193612774,2.66446832984185,0.00598802395209581,2.59164351551127,0.00598802395209581,0.122,0.00399201596806387
237,"237_229.15_1.7","NA_[237_229.15_1.7]",229.15483959829,1.6674097,0.00998383195230676,2.00070273763762,1.56069353813454,0.642187273754204,"Isoleucylproline",NA,NA,0.601463309098872,-4.93829243318755,35.6197680463749,1,"InChI=1S/C11H20N2O3/c1-3-7(2)9(12)10(14)13-6-4-5-8(13)11(15)16/h7-9H,3-6,12H2,1-2H3,(H,15,16)","BBIXOODYWPFNDT","C11H20N2O3","[M + H]+","CCC(C)C(C(=O)N1CCCC1C(=O)O)N","Amino acids and Peptides","Dipeptides","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51185070945753,0.0179640718562874,2.53549972509234,0.0179640718562874,2.65341689095312,0.0139720558882236,0.0865,0.419161676646707
239,"239_384.12_1.8","NA_[239_384.12_1.8]",384.115067012285,1.7774711,0.00330681932610908,2.48058953288109,1.64758743971947,0.72035503306468,"Succinoadenosine",NA,NA,0.723077712692847,-14.9073040250364,33.777905531009,1,"InChI=1S/C14H17N5O8/c20-2-6-9(23)10(24)13(27-6)19-4-17-8-11(15-3-16-12(8)19)18-5(14(25)26)1-7(21)22/h3-6,9-10,13,20,23-24H,1-2H2,(H,21,22)(H,25,26)(H,15,16,18)","VKGZCEJTCKHMRL","C14H17N5O8","[M + H]+","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)NC(CC(=O)O)C(=O)O","Carbohydrates","Purine nucleos(t)ides","Nucleosides","383.1077125039999","InChI=1S/C14H17N5O8/c20-2-6-9(23)10(24)13(27-6)19-4-17-8-11(15-3-16-12(8)19)18-5(14(25)26)1-7(21)22/h3-6,9-10,13,20,23-24H,1-2H2,(H,21,22)(H,25,26)(H,15,16,18)/t5-,6+,9+,10+,13+/m0/s1","VKGZCEJTCKHMRL-VWJPMABRSA-N","VKGZCEJTCKHMRL","O=C(O)C[C@H](Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C(=O)O","C14H17N5O8","Succinyladenosine","http://www.wikidata.org/entity/Q27139416","Carbohydrates","Nucleosides","nan","nan","nan","Penicillium chrysogenum","['Eukaryota']","['Fungi']","['Ascomycota']","['Eurotiomycetes']","['Eurotiales']","['Trichocomaceae']","['Unknown']","['Penicillium']","['Penicillium chrysogenum']","nan","226485.0","http://www.wikidata.org/entity/Q137155",3,2.84531555558796,0.00998003992015968,2.88136606782406,0.00798403193612774,2.93954273391515,0.00998003992015968,0.104,0.0798403193612774
344,"344_272.26_5.3","NA_[344_272.26_5.3]",272.258324783495,5.3128138,0.0195044027247248,1.70986734436925,1.57177060280304,0.652390674118101,"hexadecaphytosphingosine",NA,NA,0.606178222513681,-16.7966289308052,51.4147774373335,1,"InChI=1S/C16H35NO3/c1-2-3-4-5-6-7-8-9-10-11-12-15(19)16(20)14(17)13-18/h14-16,18-20H,2-13,17H2,1H3","OCHZTELGZBWSJD","C16H35NO3","[M - H2O + H]+","CCCCCCCCCCCCC(C(C(CO)N)O)O","Fatty acids","Sphingoid bases","Sphingolipids","271.251129296","InChI=1S/C16H33NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-16(19)15(17)14-18/h12-13,15-16,18-19H,2-11,14,17H2,1H3/b13-12+/t15-,16+/m0/s1","BTUSGZZCQZACPT-YYZTVXDQSA-N","BTUSGZZCQZACPT","CCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO","C16H33NO2","Hexadecasphingosine","http://www.wikidata.org/entity/Q27139281","Fatty acids","Sphingolipids","Fatty acids","Sphingolipids","Sphingoid bases","Klebsiella pneumoniae","['Bacteria']","['Unknown']","['Proteobacteria']","['Betaproteobacteria']","['Burkholderiales']","['Alcaligenaceae']","['Unknown']","['Achromobacter']","['Klebsiella pneumoniae']","nan","443477.0","http://www.wikidata.org/entity/Q132592",0,1.41705050316284,0.281437125748503,1.34406227991274,0.269461077844311,1.38942503594182,0.289421157684631,0.0505,0.916167664670659
353,"353_440.28_5.6","NA_[353_440.28_5.6]",440.277332144309,5.6315207,0.0119786870422217,1.9215907814097,1.50750817913888,0.592165829635207,"LPC-lyso",NA,NA,0.400404994131674,-8.72474854446815,5018.12832005911,1,"InChI=1S/C20H42NO7P/c1-5-6-7-8-9-10-11-12-13-14-20(23)26-17-19(22)18-28-29(24,25)27-16-15-21(2,3)4/h19,22H,5-18H2,1-4H3/p+1","BWKILASWCLJPBO","C20H42NO7P","[M + H]+","CCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O","Fatty acids","Glycerophosphocholines","Glycerophospholipids","nan","nan","nan","GLSCDHQUIDQFRP",NA,"nan","nan","nan","nan","nan","Fatty acids","Glycerophospholipids","Glycerophosphocholines","nan","['Unknown']","['Unknown']","['Unknown']","['Unknown']","['Unknown']","['Unknown']","['Unknown']","['Unknown']","['Unknown']","nan","nan","nan",0,2.1001107252027,0.109780439121756,2.13093120731117,0.0878243512974052,2.12818779512448,0.0998003992015968,0.0665,0.87624750499002
358,"358_304.18_5.9","NA_[358_304.18_5.9]",304.175468905401,5.855591,0.00364090118152697,2.43879110818496,0.654797263780176,-0.610879801693222,"null",NA,NA,0.546726697469633,-187.943342576985,19.6545948637062,0.651256281407035,"InChI=1S/C14H27NO7/c1-2-7-3-4-9(17)8(15-7)6-21-14-13(20)12(19)11(18)10(5-16)22-14/h7-20H,2-6H2,1H3","NIFSXMTZZIQERU","C14H27NO7","[M - H2O + H]+","CCC1CCC(C(N1)COC2C(C(C(C(O2)CO)O)O)O)O","Carbohydrates","Simple amide alkaloids","Peptide alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63736530665978,0.173652694610778,1.63736530665978,0.181636726546906,1.63736530665978,0.17564870259481,0.065,0.852295409181637
376,"376_250.12_6.5","NA_[376_250.12_6.5]",250.118656785313,6.478004,0.00087172616490626,3.0596199184472,0.576525424721126,-0.794543862881473,"Activator OC",NA,NA,0.833587847469903,-19.7938355356065,58.1332704309161,1,"InChI=1S/C12H15N3O3/c1-4-7-16-10-13-11(17-8-5-2)15-12(14-10)18-9-6-3/h4-6H,1-3,7-9H2","BJELTSYBAHKXRW","C12H15N3O3","[M + H]+","C=CCOC1=NC(=NC(=N1)OCC=C)OCC=C","Alkaloids","Purine alkaloids","Pseudoalkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85994165778527,0.0239520958083832,2.88136606782406,0.0219560878243513,2.93954273391515,0.0279441117764471,0.1415,0.0778443113772455
392,"392_496.34_7","NA_[392_496.34_7]",496.33990065618,6.9502935,0.0487648818163491,1.31189282397705,1.43641743974121,0.522475074179967,"1-16:0-lysoPC",NA,NA,0.573195741976738,-5.48753322819767,4018.73561433641,1,"InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/p+1","ASWBNKHCZGQVJV","C24H50NO7P","[M + H]+","CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O","Fatty acids","Glycerophosphocholines","Glycerophospholipids","495.3324895699999","InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/t23-/m1/s1","ASWBNKHCZGQVJV-HSZRJFAPSA-N","ASWBNKHCZGQVJV","CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C","C24H50NO7P","1-Palmitoyl-sn-glycero-3-phosphocholine","http://www.wikidata.org/entity/Q27105001","Fatty acids","Glycerophospholipids","Fatty acids","Glycerophospholipids","Glycerophosphocholines","Saccharomyces cerevisiae","['Eukaryota']","['Fungi']","['Ascomycota']","['Unknown']","['Saccharomycetales']","['Saccharomycetaceae']","['Unknown']","['Saccharomyces']","['Saccharomyces cerevisiae']","nan","356221.0","http://www.wikidata.org/entity/Q719725",6,1.00100150250438,0.261477045908184,1.00100150250438,0.249500998003992,1.00100150250438,0.255489021956088,0.038,0.980039920159681
