"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","pDelta_vs_psDelta_p_value","pDelta_vs_sDelta_p_value","pDelta_vs_WT_p_value","psDelta_vs_sDelta_p_value","psDelta_vs_WT_p_value","sDelta_vs_WT_p_value","pDelta_vs_psDelta_p_value_minus_log10","pDelta_vs_sDelta_p_value_minus_log10","pDelta_vs_WT_p_value_minus_log10","psDelta_vs_sDelta_p_value_minus_log10","psDelta_vs_WT_p_value_minus_log10","sDelta_vs_WT_p_value_minus_log10","sDelta_vs_WT_fold_change","psDelta_vs_WT_fold_change","pDelta_vs_WT_fold_change","psDelta_vs_sDelta_fold_change","pDelta_vs_sDelta_fold_change","pDelta_vs_psDelta_fold_change","sDelta_vs_WT_fold_change_log2","psDelta_vs_WT_fold_change_log2","pDelta_vs_WT_fold_change_log2","psDelta_vs_sDelta_fold_change_log2","pDelta_vs_sDelta_fold_change_log2","pDelta_vs_psDelta_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","pDelta","pDelta.pval","psDelta","psDelta.pval","sDelta","sDelta.pval","WT","WT.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
58,"58_458.77_0.5","NA_[58_458.77_0.5]",458.769806446376,0.49040663,0.03756379991181,0.513144738902957,0.9868030400387,0.00427880309894579,0.0224873706903727,0.702868877506841,1.42523048144166,0.289760119408828,0.005769521251618,2.36867769832767,1.64806132097242,0.153125686483181,1.59648302742251,0.436303517881941,0.898032027493387,0.273290420497826,0.562506467070458,2.05827363449402,0.67489721536743,-1.19659598878613,-0.155161196600309,-1.87149320415356,-0.830058411967739,1.04143479218582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.871232052728942,0.578842315369261,6.2970425748959,0.0119760479041916,4.80394790028805,0.0339321357285429,2.01079087256066,0.181636726546906,6.29636176977827,0.0239520958083832,0.855354312354313,0.49500998003992
70,"70_197.03_0.5","NA_[70_197.03_0.5]",197.032362393603,0.50074196,0.00873121218344941,0.973311540969524,0.0363428086997687,0.00461713365434024,0.70052075616488,0.0179000160880363,2.05892545755017,0.0117481269794307,1.43958151192963,2.33562755354019,0.154578992206434,1.74714657868814,2.26746621546943,0.845895378074669,1.97513251364046,0.373057544277256,0.871074726567227,2.3349607585468,1.18108105521341,-0.241448855734309,0.981949448408057,-1.42252991094772,-0.199131606805357,1.22339830414237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.408316348860679,0.345309381237525,3.27912917891976,0.0419161676646707,4.84341872280204,0.0259481037924152,1.97353473186496,0.161676646706587,4.63644157258228,0.029940119760479,0.621263292263292,0.848303393213573
76,"76_222.99_0.5","NA_[76_222.99_0.5]",222.988235455794,0.5307552,0.0422139934400156,0.702899780231486,0.10055520553946,0.00787621909056735,0.88732364706249,0.0165037405563353,1.37454356168292,0.153106592469785,0.997595441938995,2.10368221171865,0.0519179444340542,1.78241761221847,2.60602678298794,0.884645768203402,1.7651885706585,0.339461502843464,0.677348591419549,1.99536202410526,1.38185191103012,-0.176828211172173,0.819822311214386,-1.55868012220229,-0.562029599815729,0.996650522386559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.92454971670082,0.56686626746507,3.30139100400239,0.0419161676646707,5.49710318173135,0.00998003992015968,3.02933808311936,0.0778443113772455,5.02391606776751,0.0339321357285429,0.542337373737374,0.984031936127745
77,"77_141.07_0.5","NA_[77_141.07_0.5]",141.06594413898,0.53111553,0.0119142769205278,0.983120024511678,0.0332016534141668,0.0207772039364504,0.827256997209648,0.0605234524903656,1.92393230992296,0.00739345795517172,1.47884028826075,1.68241289742727,0.0823595507481192,1.21807630611567,1.77665829102367,0.877568283819521,1.96693693902069,0.493943201263473,1.10709918106277,2.24134916369106,0.82916623102853,-0.188416708621108,0.975950704835299,-1.01758293964964,0.146784473806769,1.16436741345641,"ACMC-20dntv",NA,NA,0.187222381586272,-61.7322597634564,56.8241081216876,1,"InChI=1S/C6H8N2O2/c1-8-3-2-7-5(8)4-6(9)10/h2-3H,4H2,1H3,(H,9,10)","MGIKMFCKRKDEIK","C6H8N2O2","[M + H]+","CN1C=CN=C1CC(=O)O","Alkaloids","Pyridine alkaloids","Nicotinic acid alkaloids","123.0320284|123.0320284","InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)|InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)","SIOXPEMLGUPBBT-UHFFFAOYSA-N|PVNIIMVLHYAWGP-UHFFFAOYSA-N","SIOXPEMLGUPBBT|PVNIIMVLHYAWGP","O=C(O)c1ccccn1|O=C(O)c1cccnc1","C6H5NO2|C6H5NO2","Picolinic acid|Hydron;pyridine-3-carboxylate","http://www.wikidata.org/entity/Q416682|http://www.wikidata.org/entity/Q134658","Alkaloids|Alkaloids","Nicotinic acid alkaloids|Nicotinic acid alkaloids","Alkaloids","Nicotinic acid alkaloids","Aminoacids","Saccharomyces cerevisiae|Saccharomyces cerevisiae","['Eukaryota']|['Eukaryota']","['Fungi']|['Fungi']","['Ascomycota']|['Ascomycota']","['Unknown']|['Unknown']","['Saccharomycetales']|['Saccharomycetales']","['Saccharomycetaceae']|['Saccharomycetaceae']","['Unknown']|['Unknown']","['Saccharomyces']|['Saccharomyces']","['Saccharomyces cerevisiae']|['Saccharomyces cerevisiae']","nan|nan","356221.0|356221.0","http://www.wikidata.org/entity/Q719725|http://www.wikidata.org/entity/Q719725",NA,4.68287291453945,0.0279441117764471,1.41705050316284,0.211576846307385,5.01140252336026,0.00798403193612774,1.50896952152007,0.219560878243513,5.7479436316549,0.0159680638722555,0.719451948051948,0.594810379241517
78,"78_159.08_0.5","NA_[78_159.08_0.5]",159.076472506333,0.5322659,0.0127824332735694,0.9933938033352,0.0370224509227772,0.0191244998889138,0.818550673585445,0.057191802100363,1.89338646568503,0.00287855340635042,1.43153483390823,1.7184099129495,0.0869544297800458,1.24266621871976,1.81792960652841,0.8734539290116,1.96096842770815,0.480466309517663,1.07868226617031,2.24507368113529,0.86229633689254,-0.195196485780099,0.971566307811778,-1.05749282267264,0.109269970919238,1.16676279359188,"1,2,3-Propanetriol, 1-(1H-imidazol-4-yl)-",NA,NA,0.655587099864956,-85.7798108106822,97.4553165581376,1,"InChI=1S/C6H10N2O3/c9-2-5(10)6(11)4-1-7-3-8-4/h1,3,5-6,9-11H,2H2,(H,7,8)","ABDKJICLXDSVKH","C6H10N2O3","[M + H]+","C1=C(NC=N1)C(C(CO)O)O","Amino acids and Peptides","Imidazole alkaloids","Histidine alkaloids","117.042593084|126.042927432","InChI=1S/C4H7NO3/c1-3(6)5-2-4(7)8/h2H2,1H3,(H,5,6)(H,7,8)|InChI=1S/C5H6N2O2/c8-5(9)1-4-2-6-3-7-4/h2-3H,1H2,(H,6,7)(H,8,9)","OKJIRPAQVSHGFK-UHFFFAOYSA-N|PRJKNHOMHKJCEJ-UHFFFAOYSA-N","OKJIRPAQVSHGFK|PRJKNHOMHKJCEJ","CC(=O)NCC(=O)O|O=C(O)Cc1cnc[nH]1","C4H7NO3|C5H6N2O2","N-Acetylglycine|2-(1H-imidazol-3-ium-5-yl)acetate","http://www.wikidata.org/entity/Q15634040|http://www.wikidata.org/entity/Q27891434","Amino acids and Peptides|Amino acids and Peptides","Small peptides|Small peptides","Alkaloids","Nicotinic acid alkaloids","Aminoacids","Saccharomyces cerevisiae|Saccharomyces cerevisiae","['Eukaryota']|['Eukaryota']","['Fungi']|['Fungi']","['Ascomycota']|['Ascomycota']","['Unknown']|['Unknown']","['Saccharomycetales']|['Saccharomycetales']","['Saccharomycetaceae']|['Saccharomycetaceae']","['Unknown']|['Unknown']","['Saccharomyces']|['Saccharomyces']","['Saccharomyces cerevisiae']|['Saccharomyces cerevisiae']","nan|nan","356221.0|356221.0","http://www.wikidata.org/entity/Q719725|http://www.wikidata.org/entity/Q719725",NA,3.15160280061454,0.0678642714570858,1.1523199683309,0.235528942115768,5.0088719028434,0.0179640718562874,2.172665991233,0.12375249500998,5.02916241991439,0.0179640718562874,0.722779509379509,0.590818363273453
81,"81_131.12_0.5","NA_[81_131.12_0.5]",131.118053803546,0.5438816,0.00126710521472495,0.0990375674742021,0.103009514227112,0.062239978914833,0.0599537830940694,0.999994390670864,2.89718732175643,1.00420003518083,0.987122660872416,1.20593056314519,1.22218340764367,2.43610752330021e-06,0.995919534321144,0.655942363840689,1.75459994400915,0.658629880462987,1.76178886299801,2.67493005595123,-0.0058989109528251,-0.608359040797463,0.811142127631626,-0.602460129844638,0.817041038584451,1.41950116842909,"Acetylputrescine",NA,NA,0.475570060630105,-15.6316973631061,31.5366011580843,1,"InChI=1S/C6H14N2O/c1-6(9)8-5-3-2-4-7/h2-5,7H2,1H3,(H,8,9)","KLZGKIDSEJWEDW","C6H14N2O","[M + H]+","CC(=O)NCCCCN","Alkaloids","Polyamines","Ornithine alkaloids","130.110613068","InChI=1S/C6H14N2O/c1-6(9)8-5-3-2-4-7/h2-5,7H2,1H3,(H,8,9)","KLZGKIDSEJWEDW-UHFFFAOYSA-N","KLZGKIDSEJWEDW","CC(=O)NCCCCN","C6H14N2O","N-acetylputrescine","http://www.wikidata.org/entity/Q27102595","Alkaloids","Ornithine alkaloids","Amino acids and Peptides","Small peptides","Aminoacids","Saccharomyces cerevisiae","['Eukaryota']","['Fungi']","['Ascomycota']","['Unknown']","['Saccharomycetales']","['Saccharomycetaceae']","['Unknown']","['Saccharomyces']","['Saccharomyces cerevisiae']","nan","356221.0","http://www.wikidata.org/entity/Q719725",6,4.74331848881685,0.0439121756487026,4.47829006322319,0.0259481037924152,3.87250754747759,0.0738522954091816,-1.43312828680636,0.63872255489022,5.23901178113739,0.0459081836327345,0.628759307359307,0.890219560878243
94,"94_148.08_0.6","NA_[94_148.08_0.6]",148.079492563208,0.56655645,0.0261392243630818,1,1,0.0261392243630818,0.0261392243630818,1,1.5827073035126,0,0,1.5827073035126,1.5827073035126,0,1,0.116080913821781,1,0.116080913821781,1,8.61468063160922,0,-3.10679731302201,0,-3.10679731302201,0,3.10679731302201,"5-methylthiopentanaldoxime",NA,NA,0.466207652382538,-124.99161494538,19.7948949639763,1,"InChI=1S/C6H13NOS/c1-9-6-4-2-3-5-7-8/h5,8H,2-4,6H2,1H3","KNFFJJFEYQLINT","C6H13NOS","[M + H]+","CSCCCCC=NO","Fatty acids","Hydrocarbons","Fatty acyls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.708582834331337,2.24733287487747,0.0179640718562874,0,0.67065868263473,1.00100150250438,0.213572854291417,2.04044455927613,0.141716566866267,0.0944044733044733,0.676646706586826
115,"115_203.05_0.6","NA_[115_203.05_0.6]",203.052664086245,0.59369534,0.0151301855756275,0.000195406267596177,0.504425138127544,0.139635735047242,0.135557857242826,0.00152964823237656,1.82015574521034,3.70906151053137,0.297203278407364,0.855003424493601,0.867875304654455,2.81540843081802,2.34280157284508,1.40394141249056,0.862279743067304,0.599257499552392,0.368054961658642,0.614184990481648,1.22823476811694,0.489482732171726,-0.213772106706447,-0.738752035945214,-1.44200687482339,-0.703254838878173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89335046565988,0.0479041916167665,5.24142418360959,0.0279441117764471,9.01090718446942,0.00399201596806387,4.16726961387577,0.0538922155688623,9.41516571944632,0.00199600798403194,1.30900663780664,0.0738522954091816
122,"122_180.09_0.6","NA_[122_180.09_0.6]",180.086695265937,0.6089297,0.0112085287546861,0.000134099920975128,0.00439254896139485,0.122662726795014,0.994722351072407,0.135729661202943,1.95045138969356,3.87257147807738,2.35728338895729,0.911287385165688,0.00229812349955795,0.867325234955338,1.38519274516286,0.970540882491203,0.657779199673734,0.700654032357855,0.474864744975544,0.677744968336968,0.470086736666711,-0.0431391094341923,-0.604324706966425,-0.513225846100903,-1.07441144363314,-0.561185597532232,"Manosamine",NA,NA,0.331255341243122,-52.1619870965522,59.0817332291452,1,"InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2","FZHXIRIBWMQPQF","C6H13NO5","[M + H]+","C(C(C(C(C(C=O)N)O)O)O)O","Amino acids and Peptides","Aminosugars","Small peptides","147.053157768","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)","WHUUTDBJXJRKMK-UHFFFAOYSA-N","WHUUTDBJXJRKMK","NC(CCC(=O)O)C(=O)O","C5H9NO4","2-Azaniumyl-5-hydroxy-5-oxopentanoate","http://www.wikidata.org/entity/Q181136","Amino acids and Peptides","Small peptides","Carbohydrates","Small peptides","Aminoacids","Saccharomyces cerevisiae","['Eukaryota']","['Fungi']","['Ascomycota']","['Unknown']","['Saccharomycetales']","['Saccharomycetaceae']","['Unknown']","['Saccharomyces']","['Saccharomyces cerevisiae']","nan","356221.0","http://www.wikidata.org/entity/Q719725",6,8.94749233343211,0.00199600798403194,2.55192104365018,0.093812375249501,6.21576219611436,0.0139720558882236,0.951114498447235,0.259481037924152,8.66971891771408,0.00199600798403194,1.08816940836941,0.221556886227545
123,"123_198.1_0.6","NA_[123_198.1_0.6]",198.097239700699,0.6121948,0.0499831400762466,0.000199495788523296,0.0220103641868137,0.044690631148656,0.995399565506646,0.0449085205358895,1.30117646379681,3.70006626809953,1.65737277148504,1.34978351192181,0.00200255316212538,1.34767125207785,1.50489128922612,0.97349615714458,0.723575540172607,0.646888027137954,0.48081582061964,0.743275188979656,0.589659272925824,-0.0387528109386077,-0.466784455126267,-0.628412083864432,-1.05644372805209,-0.42803164418766,"3-Fluoro-5-Isopropoxybenzeneboronic Acid",NA,NA,0.147145846607506,-261.810162111714,57.6345962794635,1,"InChI=1S/C9H12BFO3/c1-6(2)14-9-4-7(10(12)13)3-8(11)5-9/h3-6,12-13H,1-2H3","HJJYROZZJOJOOW","C9H12BFO3","[M + H]+","B(C1=CC(=CC(=C1)F)OC(C)C)(O)O","Terpenoids","Pinane monoterpenoids","Monoterpenoids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.42736119942012,0.00199600798403194,1.11770631425114,0.227544910179641,8.67176503955027,0.00199600798403194,3.54568805428194,0.0558882235528942,9.79854455108314,0.00199600798403194,1.50358787878788,0.0119760479041916
128,"128_227.08_0.6","NA_[128_227.08_0.6]",227.079340489107,0.63621825,0.0366140526700086,0.735859913802524,0.810162274184153,0.00748955040998112,0.140474174825285,0.2746125850089,1.43635219805615,0.133204854756438,0.0914279839308938,2.12554425176978,0.852403510362286,0.561279563695482,1.6883635132766,0.647668629575767,1.23295778915956,0.383607336028507,0.730267966266795,1.9036861333969,0.755625557090251,-0.626672227371342,0.302123409300702,-1.38229778446159,-0.45350214778955,0.928795636672044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fatty acids","Polyamines","Ornithine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.62499385417646,0.82435129740519,5.6300037743045,0.0159680638722555,0.971184066427377,0.269461077844311,0.835204327572323,0.329341317365269,2.61692940954149,0.155688622754491,0.662936163836164,0.872255489021956
174,"174_157.02_0.8","NA_[174_157.02_0.8]",157.024603127771,0.80830365,0.00646877033274162,0.999994155930402,0.0764881058110441,0.00623158004418434,0.372219222405269,0.0734439838096803,2.18917826777953,2.53805459442794e-06,1.11640609402603,2.20540182212606,0.429201202486896,1.13404377380523,1.52340724124802,0.815543242044944,1.51631762288999,0.535341581661925,0.995346209361447,1.8592731135726,0.6073016584323,-0.294166720795247,0.60057198634008,-0.901468379227547,-0.00672967209221945,0.894738707135328,"Orotonin",NA,NA,0.567754793066986,-14.20595460266,33.6309915982127,1,"InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)","PXQPEWDEAKTCGB","C5H4N2O4","[M + H]+","C1=C(NC(=O)NC1=O)C(=O)O","Alkaloids","Aminoacids","Pseudoalkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77645521602427,0.151696606786427,4.97793616409646,0.00998003992015968,3.59945938710647,0.0518962075848303,2.67434957395123,0.107784431137725,5.50351609027607,0.0119760479041916,0.813226895326895,0.431137724550898
201,"201_175.12_1.1","NA_[201_175.12_1.1]",175.119140068451,1.1035658,0.0275809978507697,1,1,0.0275809978507697,0.0275809978507697,1,1.55939002556975,0,0,1.55939002556975,1.55939002556975,0,1,0.0153964568396796,1,0.0153964568396796,1,64.9500083306706,0,-6.02125780560465,0,-6.02125780560465,0,6.02125780560465,"arginine",NA,NA,0.783987867181673,-0.372802378375695,60.1437864814988,1,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)","ODKSFYDXXFIFQN","C6H14N4O2","[M + H]+","C(CC(C(=O)O)N)CN=C(N)N","Amino acids and Peptides","Aminoacids","Small peptides","174.111675688","InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)","ODKSFYDXXFIFQN-UHFFFAOYSA-N","ODKSFYDXXFIFQN","NC(N)=NCCCC(N)C(=O)O","C6H14N4O2","2-Azaniumyl-5-(diaminomethylideneamino)pentanoate","http://www.wikidata.org/entity/Q27104032","Amino acids and Peptides","Small peptides","Amino acids and Peptides","Small peptides","Aminoacids","Saccharomyces cerevisiae","['Eukaryota']","['Fungi']","['Ascomycota']","['Unknown']","['Saccharomycetales']","['Saccharomycetaceae']","['Unknown']","['Saccharomyces']","['Saccharomyces cerevisiae']","nan","356221.0","http://www.wikidata.org/entity/Q719725",6,0,0.658682634730539,2.24733287487747,0.0199600798403194,1.00100150250438,0.217564870259481,1.41705050316284,0.0758483033932136,2.13650284337248,0.135728542914172,0.106777200577201,0.510978043912176
236,"236_235.17_1.6","NA_[236_235.17_1.6]",235.165393744158,1.6042376,0.0305276760458317,0.774212461221057,0.257860116571037,0.00697974999631668,0.477447169126006,0.0575192313675226,1.51530625560592,0.111139842838828,0.588615825340105,2.15616013284455,0.321074677329283,1.24018692608613,2.15171761188288,0.773041554207989,1.56160739860143,0.359267196559093,0.725749229349354,2.02008209015537,1.10548875323456,-0.371382127776718,0.643031793246731,-1.47687088101128,-0.462456959987827,1.01441392102345,"null",NA,NA,0.098685562020019,-183.443488068207,61.3835466456636,1,"InChI=1S/C10H22N2O4/c11-4-2-1-3-5-12-6-8(14)10(16)9(15)7-13/h9-10,12-13,15-16H,1-7,11H2","BZKXSLSRJJQPEX","C10H22N2O4","[M + H]+","C(CCN)CCNCC(=O)C(C(CO)O)O","Amino acids and Peptides","Dipeptides","Small peptides","117.078978592|117.078978592","InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)|InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3","KZSNJWFQEVHDMF-UHFFFAOYSA-N|KWIUHFFTVRNATP-UHFFFAOYSA-N","KZSNJWFQEVHDMF|KWIUHFFTVRNATP","CC(C)C(N)C(=O)O|C[N+](C)(C)CC(=O)[O-]","C5H11NO2|C5H11NO2","2-Azaniumyl-3-methylbutanoate|Betaine","http://www.wikidata.org/entity/Q27109943|http://www.wikidata.org/entity/Q10860583","Amino acids and Peptides|Amino acids and Peptides","Small peptides|Small peptides","Amino acids and Peptides","Small peptides","Aminoacids","Saccharomyces cerevisiae|Saccharomyces cerevisiae","['Eukaryota']|['Eukaryota']","['Fungi']|['Fungi']","['Ascomycota']|['Ascomycota']","['Unknown']|['Unknown']","['Saccharomycetales']|['Saccharomycetales']","['Saccharomycetaceae']|['Saccharomycetaceae']","['Unknown']|['Unknown']","['Saccharomyces']|['Saccharomyces']","['Saccharomyces cerevisiae']|['Saccharomyces cerevisiae']","nan|nan","356221.0|356221.0","http://www.wikidata.org/entity/Q719725|http://www.wikidata.org/entity/Q719725",NA,0.959196146784662,0.251497005988024,6.12689738877816,0.00399201596806387,5.0789847368544,0.00399201596806387,1.76167015032696,0.193612774451098,6.00066499727714,0.00598802395209581,0.779678932178932,0.502994011976048
